content,score,category
"sangat bagus, saya disable di apk yg BNI tapi untuk memperbaiki di arahkan ke bank padahal sering antri, setelah login menggunakan wonder ternyata bisa euy, dan saldo no rek favorit/ yg tersimpan masih ada gak perlu ketik lagi, verifikasi nya mirip""dana, verifikasi wajah,KTP, hadap kiri, sidik jari , dan pin, wonder sangat membantu, dan memuaskan, tapi kalau jaringan kita di bawah 100kb sulit masuk, langsung terpental, tapi sebagian yg lain, seperti fitur dan tampil an, keren, dan mantap , COOL",5,positive
"App nya bagus. Sayang baru bisa berfungsi kalo pake WiFi, kalo pake data app nya mogok cuma muter2 ga mau kebuka. Lah kalo saya lagi di luar rumah gimana? Riskan juga make WiFi publik untuk transaksi perbankan. Tolong diperbaiki ya Update: Sudah bisa berfungsi dengan baik dengan wifi maupun data. Bintangnya jadi 5 terimakasih",5,positive
"bintang 3 aja, deskripsi transaksi sangat minim. kemunduran dari versi BNI Mobile Banking yg jelas rincian transaksi masuk dan keluar. mohon kepada developer untuk dapat mengubah feature rincian transaksi gak cuma sumber kas masuk, tapi uang masuk itu deskripsi keperluannya apa.. kalau cuma sumber saja.. jadi merepotkan karena harus nanya lagi sama yg transfer uangnya, ini uang untuk transaksi apa",3,neutral
"Aplikasi yang sangat membantu memudahkan nasabah dalam bertransaksi. Masukan untuk developer, agar rincian transaksi bisa ditambahkan penjelasan untuk apa. Jika transaksi bukan dari bank konvensional, nama pengirim tidak tercantum. Sehingga membingungkan kita ketika ada transaksi masuk, dan harus melihat dari BNI Mobile Banking. Terima kasih.",3,neutral
"Kurang lebih 5 bulan aplikasinya ada gangguan, belum ada perbaikan juga. Udah sering Eror, lihat transaksi gak bisa, mutasi rekening datanya gak jelas, sama udah 1 bulan lebih uang transfer belum masuk- masuk dan akhirnya uang hangus, tiba-tiba saldo dipotong dan tidak ada notifikasi penjelasannya. Mending dihapus aja aplikasinya, sama saham BNI pasti anjlok (-1000000%). Mantabbbbbbbbb",1,negative
"smpe skrng belum bisa daftar, masalah verifikasi wajah, udah lewat 48 jam tapi masih belum bisa verfisika wajah? udah nyoba restart, update aplikasi, hapus data juga tapi masih belum bisaa, padahal waktu itu udh sama pegawai bank nya juga, tolonglah ini kenapa mau daftar aja rasanya dipersulit banget yaa 😞",1,negative
"tolong untuk halaman pada pengisian nama nasabah maksimal hurufnya di tambahkan jangan cuma 15, tadi saya coba mau login sudah punya rekening, nama yang sesuai sama rekening tidak cukup ( melebihi jumlah huruf maksimal ), alhasil gak bisa login dengan rekening tersebut (buka rekening baru ) , alhasil nggak jadi makek aplikasi , padahal dengan aplikasi seperti ini sangat memudahkan transaksi. Saya harap ada perubahan. TERIMAKASIH 🙏",2,negative
"verifikasi wajah selalu gagal trus...udh sering bgt Wondr BNI kayak gini...bug nya gapernah dibenerin.. kecewa. . . Edit: wajah gak keluar frame, ga backlight, jernih, ttp gabisa, berarti ada yang SALAH dgn APPS nya, TOLONG DIPERBAIKI!!! ATAU MINIMAL ADA CAEA LAIN.... Jadi MALAS PAKAI BNI klo kayak gini",1,negative
"Baru beberapa hari menggunakan, masih kurang terbiasa dengan tampilannya, terus tulisan atau ukuran huruf terlalu kecil dan agak ngeblur baik tampilan atau huruf dan angka pada saat transaksi contohnya saat mengisi pulsa, membuat agak kesulitan bagi pengguna dengan mata plus untuk melihat atau membacanya",3,neutral
"Aplikasinya bagus tapi kadang suka ngebug mutasi transaksi tidak terlihat dan perlu di perbaiki agar jumlah rekening setelah dah sebelum ada transaksi terlihat karna ada nominal transfer saja tanpa ada jumlah nominal sisa saldo setelah di transfer seperti bni mobile sebelumnya ,mohon di perbaiki 🙏",3,neutral
