content,score,category
mau masuk ke aplikasi untuk verifikasi wajah gagal terus sudah hari trus datang ke kantor bni untuk pengaduan buang waktu banyak menurut saya tidak memudahkan orang,2,negative
baru selesai verifikasi email trus logout mau login lg gak bisa dibilang sesi anda sudah berakhir tiap kali login percuma instal,2,negative
layanan cepat,5,positive
aplikasi yang menyusahkan masyarakat bengkulu dan seluruh wilayahnya mohon di hapus aja ini aplikasi tolong untuk kembalikan antrian ke semula saja aplikasi sangat menyusahkan masyarakat paham mempersulit orang semoga kalian di persulit di akhirat nanti,1,negative
sumpah tiap kali mau regist akun di sini susah banget ada kendala di data lah padahal datanya udah bener sama kaya di kantor cabang bni sama di dukcapil terus saya harus masukin data mana coba saya udah capek tau ga bolak balik kantor cabang nya sampe sekarang juga ga bisa bukannya dapet solusi ehh bikin tambah ribet sih iya,1,negative
kurang rekomendasi aplikasi eror gk guna masak saya beli token listrik status gagal uang tetep terpotong sampek saya cobak x tetap sama dasar aplikasi makin kesini makin gak waras kalo kayak gini terus orang orang pasti pindah ke bank yg lain,1,negative
mantul keren dan memuaskan kan,5,positive
aplikasi apaan sih min saya coba buat transaksi bayar spaylater pas sudah klik oke transaksi gagal tapi saldoku malah berkurang ini terus gimana solusinya biar saldo saya balik,1,negative
sering eror sering perbaikan terus tu knppas dibutuhke mau buat tf atau gak qris pas ngak punya cash malah ngak bisamending apk yang dulu gak sering eror,1,negative
user friendly tampilan keren fitur lengkapmantap,5,positive
sangat membantu dalam bertransaksi fiturnya modern dan mudah dimengerti pokoknya aplikasi nya keren deh,5,positive
masih sama kayak mbankingnya otp gak masuk ke no gak tau ke no lain padahal ngarepnya sistem otp bisa lebih baik di app ini biar bisa tarik tunai tanpa kartu,3,neutral
kenapa transaksi transfer cuma bisa jt perharibikin ribettolong perbaiki,1,negative
kenapa stuck logo terus padahal jaringan saya bagus tolong dong diperbaiki hanya itu saja keluhan saya,2,negative
mudah cepat ui menarik,5,positive
loading lama mau masuk aja tergantung koneksi,2,negative
bintang tolong perbaiki kenapa susah sekali loginjaringan bagus tapi susah masuk gambar saja yang muncullelet sekalitolong perbaiki supaya ringan login dan gak leletsupaya puas semua pengguna bni wondrterima kasih,5,positive
kembalikan fitur history transaksi seperti yg dulu bos,3,neutral
aku kasih bintang aja dulu soalnya perbaikan sistemnya lama jdi saya mau menggunakan pun harus nunggu lama tolong pihak aplikasinya perbaiki sistemnya jangan terlalu lama,3,neutral
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,3,neutral
aplikasinya sangat membantu mudah digunakan dan banyak promonya jadi praktis dan mudah saat bertransaksi,5,positive
aplikasi lemot sekali buat pembayaran qris gagal sampai x padahal internet lancar dan saldo pun isi,1,negative
saat verifikasi wajah terjadi error dimana saya telah mengedipkan mata tetapi masih belum terdeteksi meskipun sudah berulang kali juga,3,neutral
berapa hari ini apk hanya stack di logo depan pada ponsel saya apk pun sangat lelet,1,negative
aplikasi menunya kurang lengkap kaya untuk rekening pinjaman tidak ada harusnya di adakan buat nasabah ngecek sisa pokok pinjamannya,3,neutral
sangat pantas di beri bintang sangat mudah di pahamidan paling penting aplikasinya juga tidak berattransaksi jadi lebih mudah,5,positive
baik dan mudah,3,neutral
katanya kalau mau dpt saldo gopayovo rb harus dapat tranferan dari bank lain jt sama top up gopay rbtranfernya uda masuk ehh giliran mau top up ewallet gak bisaaplikasi ini hanya akalan semata gak mau rugi,2,negative
nayamul loginnya gak semudah aplikasi sebelumnya,3,neutral
maaf min ini mutasi rekeningnya kok per bulan saja tidak bisa reques per tanggal seperti mobile banking versi lama,5,positive
nyaman pake aplikasi ini tp belum ada menu setor tunai tanpa kartu,5,positive
mahal biaya tf ke bca tidak nyaman,1,negative
ngk jelas aplikasi nya lebih baik aplikasi pertama internet kencang wifi kencang kok ngk bisa berjalan aplikasi nya mau login susah,1,negative
memudahkan untuk bertran saksi dan melihat sisa pinjaman,3,neutral
keren banget aplikasinya bener membantu buat transaksi dan ga ribet pas mindahin data dr bni mobile ke wondr goodjob bni,5,positive
aplikasinya susah untuk di buka lebih mudah aplikasi yg sebelumnya,1,negative
aplikasi perbankan yang sangat membantu untuk segala transaksi sangat gampang dan mudah digunakan semoga tampilan nya lebih bagus lagi nantinya,5,positive
keren aplikasi bni nya jadi tidak repot buat ngurusin pin yg ke blok,5,positive
aplikasi ccd verif wajah gagal terus padahal sudah di tempat terang dan sesuai arahan entah gagal pas ngambil gambar atau tulisannya koneksi terputus padahal sinyal aman,1,negative
siapi menu setor dan tarik tunai,2,negative
simpel dan cepat pd saat transaksi yg lebih bagusnya lg pin kartu debit terblokir tdk khwatir lg so sdh bisa buat pin baru tanpa harus ke bank bni,5,positive
fitur nya kurang lengkap masih kalah jauh dari bni mobile banking,3,neutral
aplikasinya sudah bagus ringan lagi tapi tolong dong notifikasi uang masukkeluar di bawah ribu juga di aktifkan notifikasinya agar pengguna mudah tau tanpa buka aplikasi terimakasih,5,positive
pingin install aplikasi wonder tapi bintangnya rendah sekali n byk customer complain jadi ragu padahal mobile banking yg sudah ada skrg bagus sekali n so far belum ada masalah apapun terus kenapa harus install aplikasi ini yg byk masalah apakah jg sudah install aplikasi ini mobile banking masih bisa digunakan,3,neutral
mantap dan mudah mengaplikasikannya,5,positive
belum bisa tarik dan setor tunai aplikasi downgrade belum lengkap udah launching gimana sih,1,negative
memudahkan untuk transaksi aplikasi mudah di gunakan,5,positive
sangat mudah d pakai,5,positive
aplikasi wondr by bni sangat mudah digunakansimple dan sangat membantu untuk melakukan pembayaran apapun bahkan sampai keluar negeri,5,positive
luar biasa dan super cepat sukses bni terdepan terus dalam pelayanan serta tetap mengedepankan terus service excellent terhadap masyarakat indonesia,5,positive
kurangnya tidak ada fitur stor tunai,3,neutral
kemaren saya transfer melalui qris gagal kali tapi saldo saya tetap berkurang udah saya hubungi melalui email udah mengikuti cara nya tetep aja saldo saya tidak dikembalikan saya kecewa mbanking nya juga sering banget ada gangguan,1,negative
wondr kenapa kenapa saat saya mau bayar utbk tidak bisa di pakai udah di coba beberapa kali tetap saja tidak mohon untuk segera di perbaiki,3,neutral
mudah dan cepat,5,positive
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,3,neutral
aplikasi baru bni mobile banking mudah penggunaan qris nya tdk perlu logintinggal scantampilan menarik,5,positive
kenapa saya sudah login tapi diminta login kembali setiap kali buka aplikasi dan berujung sesi anda sudah berakhir,3,neutral
sangat membantu untuk bertransaksi,5,positive
mantapp proses cepat semoga konsisten dan semakin d tingkatkan thx,5,positive
luar biasa sangat membantu,5,positive
jujur sebenernya suka karena lebih simpel cuman plis lah kl ada pembaruan atau apapun itu plis jangan dijam kerja karena kl mau transaksi suka tiba ngga bisa seperti hari ini,3,neutral
wondr aplikasi gak beres ini saya gimana mau mutasi uang saya buat rekening bni online tanpa fisik kartu jangan buat orang susah dong,2,negative
aplikasi sangat simple penggunaannya dan tidak lemot,5,positive
tanpa lelet tks wondr by bni sangat berguna,5,positive
aplikasi yg hampis selalu gangguang jika ingin digunakan tiba tiba gx bis qris tiba loading lama padahal inyernet kenceng tiba error sistem endingnya balik ke aplikasi bni yg lama yg paling menjengkelkan kadang mau dipakek tiba tiba registrasi ulangana harus pakek ktp dan wajah wah bikin antrean panjang minimarket ni aplikasi,3,neutral
bagus sekali sangat membantu,4,positive
kok bni mau pakai aplikasi yg tidak lebih baik dan lengkap dari app sebelum nya diharap lebih baik malah mundurr kecewa balikin pakai app sbelum nya saja kalau tidak bisa lebih baik,3,neutral
lemot sekali,2,negative
sangat memudahkan aktifitas transaksi dan sangat aman,5,positive
lebih baik dri apliksi yg pertama wondr malah gak karuan selalau perbaikan sistem dri pagi sampai malam sekelas bni buat apliksi saja seperti ini,1,negative
keren memudahkan kita bertransaksi dimna aja dan aplikasinya mudah di mengerti,5,positive
bagus dan terus di tingkatkan,5,positive
lebih inovatif lg yatambah fitur yg lg tren,5,positive
lebih praktis dan cepat,5,positive
bintang dulu soalnya keterangan transaksi belum muncul di history transaksi sedangkan di aplikasi lama muncul klo sudah ada tak ganti bintang yg lain sudah ok,3,neutral
cepat pke wondr membantu sekali,5,positive
aplikasi penipu pemerasan saya baruini mendownload kembali aplikasi ini setelah berhasil login muncul rekeningku di bni rekening yang lama sudah lama tidak aktif rekeningku yang saya buat saat mendownload wondr beberapa bulan lalu masih status aktif berulang kali saya mengecek status rekening dari yang satu ke yang satunya sempat juga saya refresh aplikasinya dan mengecek kembali statusnya tetap aktif dan semua berubah menjadi tidak aktif setelah di isi saldo,1,negative
nayamul loginnya gak semudah aplikasi sebelumnya,3,neutral
tampilan baru yg menyegarkan pada awalnya terdapat kendala saat verifikasi wajah saat mata diminta berkedip tp setelah dicoba lain hari cuma diminta gerakan kepala ke atas saat verifikasi wajah langsung sukses alhamdulillah dan masih ada kendala lg mutasi rekening tidak bisa seperti bni mobile misalnya mutasi seperti jasabunga tabungan biaya kartu dan administrasi tidak muncul mohon dibenahi dulu dan menunya belum selengkap bni mobile yg bisa bayar biaya pendidikan terimakasih,5,positive
kenapa selalu perbaikan ya mau transfer uang gak bisa masa nomor rekening saya di dalam perbaikan klau aplikasi nya dalam perbaikan wajar tapi ini keluarga saya mau transfer uang kendala nomor rekening saya dalam perbaikan mohon penjelasannya,3,neutral
sangat bagus harusnya di update supaya kartu yg tidak aktif tdk perlu lagi ke kantor,5,positive
kalau blm siap ga usah launching dulu cm mau token listrik suruh beli di sini dr mbangking stlh dituruti install wondr mau otp aja ga datang datang otpnya krn sdh berkali kali minta kirom ulang suruh besok keburu gelap rumahku alhasil ttp beli di toko pulsa token listriknya,1,negative
alhamdulillah ternyata sudh ada fiturnya,5,positive
