content,stemmed,score,category
mau masuk ke aplikasi untuk verifikasi wajah gagal terus sudah hari trus datang ke kantor bni untuk pengaduan buang waktu banyak menurut saya tidak memudahkan orang,"['masuk', 'aplikasi', 'verifikasi', 'wajah', 'gagal', 'trus', 'kantor', 'bni', 'adu', 'buang', 'mudah', 'orang']",2,negative
baru selesai verifikasi email trus logout mau login lg gak bisa dibilang sesi anda sudah berakhir tiap kali login percuma instal,"['selesai', 'verifikasi', 'email', 'trus', 'logout', 'login', 'gak', 'bilang', 'sesi', 'kali', 'login', 'instal']",2,negative
layanan cepat,"['layan', 'cepat']",5,positive
aplikasi yang menyusahkan masyarakat bengkulu dan seluruh wilayahnya mohon di hapus aja ini aplikasi tolong untuk kembalikan antrian ke semula saja aplikasi sangat menyusahkan masyarakat paham mempersulit orang semoga kalian di persulit di akhirat nanti,"['aplikasi', 'susah', 'masyarakat', 'bengkulu', 'wilayah', 'mohon', 'hapus', 'aplikasi', 'tolong', 'kembali', 'antri', 'aplikasi', 'susah', 'masyarakat', 'paham', 'sulit', 'orang', 'moga', 'sulit', 'akhirat']",1,negative
sumpah tiap kali mau regist akun di sini susah banget ada kendala di data lah padahal datanya udah bener sama kaya di kantor cabang bni sama di dukcapil terus saya harus masukin data mana coba saya udah capek tau ga bolak balik kantor cabang nya sampe sekarang juga ga bisa bukannya dapet solusi ehh bikin tambah ribet sih iya,"['sumpah', 'kali', 'regist', 'akun', 'susah', 'banget', 'kendala', 'data', 'data', 'udah', 'bener', 'kaya', 'kantor', 'cabang', 'bni', 'dukcapil', 'masukin', 'data', 'coba', 'udah', 'capek', 'tau', 'bolak', 'kantor', 'cabang', 'sampe', 'dapet', 'solusi', 'ehh', 'bikin', 'ribet', 'sih', 'iya']",1,negative
kurang rekomendasi aplikasi eror gk guna masak saya beli token listrik status gagal uang tetep terpotong sampek saya cobak x tetap sama dasar aplikasi makin kesini makin gak waras kalo kayak gini terus orang orang pasti pindah ke bank yg lain,"['rekomendasi', 'aplikasi', 'eror', 'masak', 'beli', 'token', 'listrik', 'status', 'gagal', 'uang', 'tetep', 'potong', 'sampek', 'cobak', 'x', 'dasar', 'aplikasi', 'kesini', 'gak', 'waras', 'kalo', 'kayak', 'gin', 'orang', 'orang', 'pindah', 'bank']",1,negative
mantul keren dan memuaskan kan,"['mantul', 'keren', 'muas']",5,positive
aplikasi apaan sih min saya coba buat transaksi bayar spaylater pas sudah klik oke transaksi gagal tapi saldoku malah berkurang ini terus gimana solusinya biar saldo saya balik,"['aplikasi', 'sih', 'min', 'coba', 'transaksi', 'bayar', 'spaylater', 'klik', 'oke', 'transaksi', 'gagal', 'saldo', 'kurang', 'gimana', 'solusi', 'biar', 'saldo']",1,negative
sering eror sering perbaikan terus tu knppas dibutuhke mau buat tf atau gak qris pas ngak punya cash malah ngak bisamending apk yang dulu gak sering eror,"['eror', 'baik', 'tu', 'knppas', 'dibutuhke', 'tf', 'gak', 'qris', 'ngak', 'cash', 'ngak', 'bisamending', 'apk', 'gak', 'eror']",1,negative
user friendly tampilan keren fitur lengkapmantap,"['user', 'friendly', 'tampil', 'keren', 'fitur', 'lengkapmantap']",5,positive
