content,stopwords_removal,score,category
mau masuk ke aplikasi untuk verifikasi wajah gagal terus sudah hari trus datang ke kantor bni untuk pengaduan buang waktu banyak menurut saya tidak memudahkan orang,"['masuk', 'aplikasi', 'verifikasi', 'wajah', 'gagal', 'trus', 'kantor', 'bni', 'pengaduan', 'buang', 'memudahkan', 'orang']",2,negative
baru selesai verifikasi email trus logout mau login lg gak bisa dibilang sesi anda sudah berakhir tiap kali login percuma instal,"['selesai', 'verifikasi', 'email', 'trus', 'logout', 'login', 'gak', 'dibilang', 'sesi', 'kali', 'login', 'instal']",2,negative
layanan cepat,"['layanan', 'cepat']",5,positive
aplikasi yang menyusahkan masyarakat bengkulu dan seluruh wilayahnya mohon di hapus aja ini aplikasi tolong untuk kembalikan antrian ke semula saja aplikasi sangat menyusahkan masyarakat paham mempersulit orang semoga kalian di persulit di akhirat nanti,"['aplikasi', 'menyusahkan', 'masyarakat', 'bengkulu', 'wilayahnya', 'mohon', 'hapus', 'aplikasi', 'tolong', 'kembalikan', 'antrian', 'aplikasi', 'menyusahkan', 'masyarakat', 'paham', 'mempersulit', 'orang', 'semoga', 'persulit', 'akhirat']",1,negative
sumpah tiap kali mau regist akun di sini susah banget ada kendala di data lah padahal datanya udah bener sama kaya di kantor cabang bni sama di dukcapil terus saya harus masukin data mana coba saya udah capek tau ga bolak balik kantor cabang nya sampe sekarang juga ga bisa bukannya dapet solusi ehh bikin tambah ribet sih iya,"['sumpah', 'kali', 'regist', 'akun', 'susah', 'banget', 'kendala', 'data', 'datanya', 'udah', 'bener', 'kaya', 'kantor', 'cabang', 'bni', 'dukcapil', 'masukin', 'data', 'coba', 'udah', 'capek', 'tau', 'bolak', 'kantor', 'cabang', 'sampe', 'dapet', 'solusi', 'ehh', 'bikin', 'ribet', 'sih', 'iya']",1,negative
kurang rekomendasi aplikasi eror gk guna masak saya beli token listrik status gagal uang tetep terpotong sampek saya cobak x tetap sama dasar aplikasi makin kesini makin gak waras kalo kayak gini terus orang orang pasti pindah ke bank yg lain,"['rekomendasi', 'aplikasi', 'eror', 'masak', 'beli', 'token', 'listrik', 'status', 'gagal', 'uang', 'tetep', 'terpotong', 'sampek', 'cobak', 'x', 'dasar', 'aplikasi', 'kesini', 'gak', 'waras', 'kalo', 'kayak', 'gini', 'orang', 'orang', 'pindah', 'bank']",1,negative
mantul keren dan memuaskan kan,"['mantul', 'keren', 'memuaskan']",5,positive
aplikasi apaan sih min saya coba buat transaksi bayar spaylater pas sudah klik oke transaksi gagal tapi saldoku malah berkurang ini terus gimana solusinya biar saldo saya balik,"['aplikasi', 'sih', 'min', 'coba', 'transaksi', 'bayar', 'spaylater', 'klik', 'oke', 'transaksi', 'gagal', 'saldoku', 'berkurang', 'gimana', 'solusinya', 'biar', 'saldo']",1,negative
sering eror sering perbaikan terus tu knppas dibutuhke mau buat tf atau gak qris pas ngak punya cash malah ngak bisamending apk yang dulu gak sering eror,"['eror', 'perbaikan', 'tu', 'knppas', 'dibutuhke', 'tf', 'gak', 'qris', 'ngak', 'cash', 'ngak', 'bisamending', 'apk', 'gak', 'eror']",1,negative
user friendly tampilan keren fitur lengkapmantap,"['user', 'friendly', 'tampilan', 'keren', 'fitur', 'lengkapmantap']",5,positive
sangat membantu dalam bertransaksi fiturnya modern dan mudah dimengerti pokoknya aplikasi nya keren deh,"['membantu', 'bertransaksi', 'fiturnya', 'modern', 'mudah', 'dimengerti', 'pokoknya', 'aplikasi', 'keren']",5,positive
masih sama kayak mbankingnya otp gak masuk ke no gak tau ke no lain padahal ngarepnya sistem otp bisa lebih baik di app ini biar bisa tarik tunai tanpa kartu,"['kayak', 'mbankingnya', 'otp', 'gak', 'masuk', 'no', 'gak', 'tau', 'no', 'ngarepnya', 'sistem', 'otp', 'app', 'biar', 'tarik', 'tunai', 'kartu']",3,neutral
kenapa transaksi transfer cuma bisa jt perharibikin ribettolong perbaiki,"['transaksi', 'transfer', 'jt', 'perharibikin', 'ribettolong', 'perbaiki']",1,negative
kenapa stuck logo terus padahal jaringan saya bagus tolong dong diperbaiki hanya itu saja keluhan saya,"['stuck', 'logo', 'jaringan', 'bagus', 'tolong', 'diperbaiki', 'keluhan']",2,negative
mudah cepat ui menarik,"['mudah', 'cepat', 'ui', 'menarik']",5,positive
loading lama mau masuk aja tergantung koneksi,"['loading', 'masuk', 'tergantung', 'koneksi']",2,negative
bintang tolong perbaiki kenapa susah sekali loginjaringan bagus tapi susah masuk gambar saja yang muncullelet sekalitolong perbaiki supaya ringan login dan gak leletsupaya puas semua pengguna bni wondrterima kasih,"['bintang', 'tolong', 'perbaiki', 'susah', 'loginjaringan', 'bagus', 'susah', 'masuk', 'gambar', 'muncullelet', 'sekalitolong', 'perbaiki', 'ringan', 'login', 'gak', 'leletsupaya', 'puas', 'pengguna', 'bni', 'wondrterima', 'kasih']",5,positive
kembalikan fitur history transaksi seperti yg dulu bos,"['kembalikan', 'fitur', 'history', 'transaksi', 'bos']",3,neutral
aku kasih bintang aja dulu soalnya perbaikan sistemnya lama jdi saya mau menggunakan pun harus nunggu lama tolong pihak aplikasinya perbaiki sistemnya jangan terlalu lama,"['kasih', 'bintang', 'perbaikan', 'sistemnya', 'nunggu', 'tolong', 'aplikasinya', 'perbaiki', 'sistemnya']",3,neutral
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,"['fitur', 'fx', 'mobile', 'lihat', 'kurs', 'tukar', 'dollar', 'app', 'bni', 'app', 'bni', 'sptnya', 'lbh', 'lengkap']",3,neutral
kok aplikasi aq wonder na g bisa di buka klo pake wifi baru bisa di buka sangat menyulitkan sekali,"['aplikasi', 'aq', 'wonder', 'na', 'buka', 'pake', 'wifi', 'buka', 'menyulitkan']",3,neutral
aplikasinya sangat membantu mudah digunakan dan banyak promonya jadi praktis dan mudah saat bertransaksi,"['aplikasinya', 'membantu', 'mudah', 'promonya', 'praktis', 'mudah', 'bertransaksi']",5,positive
aplikasi lemot sekali buat pembayaran qris gagal sampai x padahal internet lancar dan saldo pun isi,"['aplikasi', 'lemot', 'pembayaran', 'qris', 'gagal', 'x', 'internet', 'lancar', 'saldo', 'isi']",1,negative
saat verifikasi wajah terjadi error dimana saya telah mengedipkan mata tetapi masih belum terdeteksi meskipun sudah berulang kali juga,"['verifikasi', 'wajah', 'error', 'dimana', 'mengedipkan', 'mata', 'terdeteksi', 'berulang', 'kali']",3,neutral
berapa hari ini apk hanya stack di logo depan pada ponsel saya apk pun sangat lelet,"['apk', 'stack', 'logo', 'ponsel', 'apk', 'lelet']",1,negative
aplikasi menunya kurang lengkap kaya untuk rekening pinjaman tidak ada harusnya di adakan buat nasabah ngecek sisa pokok pinjamannya,"['aplikasi', 'menunya', 'lengkap', 'kaya', 'rekening', 'pinjaman', 'adakan', 'nasabah', 'ngecek', 'sisa', 'pokok', 'pinjamannya']",3,neutral
sangat pantas di beri bintang sangat mudah di pahamidan paling penting aplikasinya juga tidak berattransaksi jadi lebih mudah,"['bintang', 'mudah', 'pahamidan', 'aplikasinya', 'berattransaksi', 'mudah']",5,positive
baik dan mudah,['mudah'],3,neutral
katanya kalau mau dpt saldo gopayovo rb harus dapat tranferan dari bank lain jt sama top up gopay rbtranfernya uda masuk ehh giliran mau top up ewallet gak bisaaplikasi ini hanya akalan semata gak mau rugi,"['dpt', 'saldo', 'gopayovo', 'rb', 'tranferan', 'bank', 'jt', 'top', 'up', 'gopay', 'rbtranfernya', 'uda', 'masuk', 'ehh', 'giliran', 'top', 'up', 'ewallet', 'gak', 'bisaaplikasi', 'akalan', 'gak', 'rugi']",2,negative
nayamul loginnya gak semudah aplikasi sebelumnya,"['nayamul', 'loginnya', 'gak', 'semudah', 'aplikasi']",3,neutral
maaf min ini mutasi rekeningnya kok per bulan saja tidak bisa reques per tanggal seperti mobile banking versi lama,"['maaf', 'min', 'mutasi', 'rekeningnya', 'reques', 'tanggal', 'mobile', 'banking', 'versi']",5,positive
nyaman pake aplikasi ini tp belum ada menu setor tunai tanpa kartu,"['nyaman', 'pake', 'aplikasi', 'menu', 'setor', 'tunai', 'kartu']",5,positive
mahal biaya tf ke bca tidak nyaman,"['mahal', 'biaya', 'tf', 'bca', 'nyaman']",1,negative
ngk jelas aplikasi nya lebih baik aplikasi pertama internet kencang wifi kencang kok ngk bisa berjalan aplikasi nya mau login susah,"['ngk', 'aplikasi', 'aplikasi', 'internet', 'kencang', 'wifi', 'kencang', 'ngk', 'berjalan', 'aplikasi', 'login', 'susah']",1,negative
memudahkan untuk bertran saksi dan melihat sisa pinjaman,"['memudahkan', 'bertran', 'saksi', 'sisa', 'pinjaman']",3,neutral
keren banget aplikasinya bener membantu buat transaksi dan ga ribet pas mindahin data dr bni mobile ke wondr goodjob bni,"['keren', 'banget', 'aplikasinya', 'bener', 'membantu', 'transaksi', 'ribet', 'mindahin', 'data', 'bni', 'mobile', 'wondr', 'goodjob', 'bni']",5,positive
aplikasinya susah untuk di buka lebih mudah aplikasi yg sebelumnya,"['aplikasinya', 'susah', 'buka', 'mudah', 'aplikasi']",1,negative
aplikasi perbankan yang sangat membantu untuk segala transaksi sangat gampang dan mudah digunakan semoga tampilan nya lebih bagus lagi nantinya,"['aplikasi', 'perbankan', 'membantu', 'transaksi', 'gampang', 'mudah', 'semoga', 'tampilan', 'bagus']",5,positive
keren aplikasi bni nya jadi tidak repot buat ngurusin pin yg ke blok,"['keren', 'aplikasi', 'bni', 'repot', 'ngurusin', 'pin', 'blok']",5,positive
aplikasi ccd verif wajah gagal terus padahal sudah di tempat terang dan sesuai arahan entah gagal pas ngambil gambar atau tulisannya koneksi terputus padahal sinyal aman,"['aplikasi', 'ccd', 'verif', 'wajah', 'gagal', 'terang', 'sesuai', 'arahan', 'gagal', 'ngambil', 'gambar', 'tulisannya', 'koneksi', 'terputus', 'sinyal', 'aman']",1,negative
siapi menu setor dan tarik tunai,"['siapi', 'menu', 'setor', 'tarik', 'tunai']",2,negative
simpel dan cepat pd saat transaksi yg lebih bagusnya lg pin kartu debit terblokir tdk khwatir lg so sdh bisa buat pin baru tanpa harus ke bank bni,"['simpel', 'cepat', 'pd', 'transaksi', 'bagusnya', 'pin', 'kartu', 'debit', 'terblokir', 'khwatir', 'so', 'sdh', 'pin', 'bank', 'bni']",5,positive
fitur nya kurang lengkap masih kalah jauh dari bni mobile banking,"['fitur', 'lengkap', 'kalah', 'bni', 'mobile', 'banking']",3,neutral
aplikasinya sudah bagus ringan lagi tapi tolong dong notifikasi uang masukkeluar di bawah ribu juga di aktifkan notifikasinya agar pengguna mudah tau tanpa buka aplikasi terimakasih,"['aplikasinya', 'bagus', 'ringan', 'tolong', 'notifikasi', 'uang', 'masukkeluar', 'ribu', 'aktifkan', 'notifikasinya', 'pengguna', 'mudah', 'tau', 'buka', 'aplikasi', 'terimakasih']",5,positive
pingin install aplikasi wonder tapi bintangnya rendah sekali n byk customer complain jadi ragu padahal mobile banking yg sudah ada skrg bagus sekali n so far belum ada masalah apapun terus kenapa harus install aplikasi ini yg byk masalah apakah jg sudah install aplikasi ini mobile banking masih bisa digunakan,"['pingin', 'install', 'aplikasi', 'wonder', 'bintangnya', 'rendah', 'byk', 'customer', 'complain', 'ragu', 'mobile', 'banking', 'skrg', 'bagus', 'so', 'far', 'apapun', 'install', 'aplikasi', 'byk', 'install', 'aplikasi', 'mobile', 'banking']",3,neutral
mantap dan mudah mengaplikasikannya,"['mantap', 'mudah', 'mengaplikasikannya']",5,positive
belum bisa tarik dan setor tunai aplikasi downgrade belum lengkap udah launching gimana sih,"['tarik', 'setor', 'tunai', 'aplikasi', 'downgrade', 'lengkap', 'udah', 'launching', 'gimana', 'sih']",1,negative
memudahkan untuk transaksi aplikasi mudah di gunakan,"['memudahkan', 'transaksi', 'aplikasi', 'mudah']",5,positive
sangat mudah d pakai,"['mudah', 'pakai']",5,positive
aplikasi wondr by bni sangat mudah digunakansimple dan sangat membantu untuk melakukan pembayaran apapun bahkan sampai keluar negeri,"['aplikasi', 'wondr', 'by', 'bni', 'mudah', 'digunakansimple', 'membantu', 'pembayaran', 'apapun', 'negeri']",5,positive
luar biasa dan super cepat sukses bni terdepan terus dalam pelayanan serta tetap mengedepankan terus service excellent terhadap masyarakat indonesia,"['super', 'cepat', 'sukses', 'bni', 'terdepan', 'pelayanan', 'mengedepankan', 'service', 'excellent', 'masyarakat', 'indonesia']",5,positive
kurangnya tidak ada fitur stor tunai,"['kurangnya', 'fitur', 'stor', 'tunai']",3,neutral
kemaren saya transfer melalui qris gagal kali tapi saldo saya tetap berkurang udah saya hubungi melalui email udah mengikuti cara nya tetep aja saldo saya tidak dikembalikan saya kecewa mbanking nya juga sering banget ada gangguan,"['kemaren', 'transfer', 'qris', 'gagal', 'kali', 'saldo', 'berkurang', 'udah', 'hubungi', 'email', 'udah', 'mengikuti', 'tetep', 'saldo', 'dikembalikan', 'kecewa', 'mbanking', 'banget', 'gangguan']",1,negative
wondr kenapa kenapa saat saya mau bayar utbk tidak bisa di pakai udah di coba beberapa kali tetap saja tidak mohon untuk segera di perbaiki,"['wondr', 'bayar', 'utbk', 'pakai', 'udah', 'coba', 'kali', 'mohon', 'perbaiki']",3,neutral
mudah dan cepat,"['mudah', 'cepat']",5,positive
tidak ada fitur fx mobile tidak bisa lihat kurs dan tukar dollar spt d app bni lama app bni lama sptnya lbh lengkap,"['fitur', 'fx', 'mobile', 'lihat', 'kurs', 'tukar', 'dollar', 'app', 'bni', 'app', 'bni', 'sptnya', 'lbh', 'lengkap']",3,neutral
aplikasi baru bni mobile banking mudah penggunaan qris nya tdk perlu logintinggal scantampilan menarik,"['aplikasi', 'bni', 'mobile', 'banking', 'mudah', 'penggunaan', 'qris', 'logintinggal', 'scantampilan', 'menarik']",5,positive
kenapa saya sudah login tapi diminta login kembali setiap kali buka aplikasi dan berujung sesi anda sudah berakhir,"['login', 'login', 'kali', 'buka', 'aplikasi', 'berujung', 'sesi']",3,neutral
sangat membantu untuk bertransaksi,"['membantu', 'bertransaksi']",5,positive
mantapp proses cepat semoga konsisten dan semakin d tingkatkan thx,"['mantapp', 'proses', 'cepat', 'semoga', 'konsisten', 'tingkatkan', 'thx']",5,positive
luar biasa sangat membantu,['membantu'],5,positive
jujur sebenernya suka karena lebih simpel cuman plis lah kl ada pembaruan atau apapun itu plis jangan dijam kerja karena kl mau transaksi suka tiba ngga bisa seperti hari ini,"['jujur', 'sebenernya', 'suka', 'simpel', 'cuman', 'plis', 'kl', 'pembaruan', 'apapun', 'plis', 'dijam', 'kerja', 'kl', 'transaksi', 'suka', 'ngga']",3,neutral
wondr aplikasi gak beres ini saya gimana mau mutasi uang saya buat rekening bni online tanpa fisik kartu jangan buat orang susah dong,"['wondr', 'aplikasi', 'gak', 'beres', 'gimana', 'mutasi', 'uang', 'rekening', 'bni', 'online', 'fisik', 'kartu', 'orang', 'susah']",2,negative
aplikasi sangat simple penggunaannya dan tidak lemot,"['aplikasi', 'simple', 'penggunaannya', 'lemot']",5,positive
tanpa lelet tks wondr by bni sangat berguna,"['lelet', 'tks', 'wondr', 'by', 'bni', 'berguna']",5,positive
aplikasi yg hampis selalu gangguang jika ingin digunakan tiba tiba gx bis qris tiba loading lama padahal inyernet kenceng tiba error sistem endingnya balik ke aplikasi bni yg lama yg paling menjengkelkan kadang mau dipakek tiba tiba registrasi ulangana harus pakek ktp dan wajah wah bikin antrean panjang minimarket ni aplikasi,"['aplikasi', 'hampis', 'gangguang', 'bis', 'qris', 'loading', 'inyernet', 'kenceng', 'error', 'sistem', 'endingnya', 'aplikasi', 'bni', 'menjengkelkan', 'kadang', 'dipakek', 'registrasi', 'ulangana', 'pakek', 'ktp', 'wajah', 'bikin', 'antrean', 'minimarket', 'aplikasi']",3,neutral
bagus sekali sangat membantu,"['bagus', 'membantu']",4,positive
kok bni mau pakai aplikasi yg tidak lebih baik dan lengkap dari app sebelum nya diharap lebih baik malah mundurr kecewa balikin pakai app sbelum nya saja kalau tidak bisa lebih baik,"['bni', 'pakai', 'aplikasi', 'lengkap', 'app', 'diharap', 'mundurr', 'kecewa', 'balikin', 'pakai', 'app', 'sbelum']",3,neutral
lemot sekali,['lemot'],2,negative
sangat memudahkan aktifitas transaksi dan sangat aman,"['memudahkan', 'aktifitas', 'transaksi', 'aman']",5,positive
lebih baik dri apliksi yg pertama wondr malah gak karuan selalau perbaikan sistem dri pagi sampai malam sekelas bni buat apliksi saja seperti ini,"['dri', 'apliksi', 'wondr', 'gak', 'karuan', 'selalau', 'perbaikan', 'sistem', 'dri', 'pagi', 'malam', 'sekelas', 'bni', 'apliksi']",1,negative
keren memudahkan kita bertransaksi dimna aja dan aplikasinya mudah di mengerti,"['keren', 'memudahkan', 'bertransaksi', 'dimna', 'aplikasinya', 'mudah', 'mengerti']",5,positive
bagus dan terus di tingkatkan,"['bagus', 'tingkatkan']",5,positive
lebih inovatif lg yatambah fitur yg lg tren,"['inovatif', 'yatambah', 'fitur', 'tren']",5,positive
lebih praktis dan cepat,"['praktis', 'cepat']",5,positive
bintang dulu soalnya keterangan transaksi belum muncul di history transaksi sedangkan di aplikasi lama muncul klo sudah ada tak ganti bintang yg lain sudah ok,"['bintang', 'keterangan', 'transaksi', 'muncul', 'history', 'transaksi', 'aplikasi', 'muncul', 'ganti', 'bintang']",3,neutral
cepat pke wondr membantu sekali,"['cepat', 'pke', 'wondr', 'membantu']",5,positive
aplikasi penipu pemerasan saya baruini mendownload kembali aplikasi ini setelah berhasil login muncul rekeningku di bni rekening yang lama sudah lama tidak aktif rekeningku yang saya buat saat mendownload wondr beberapa bulan lalu masih status aktif berulang kali saya mengecek status rekening dari yang satu ke yang satunya sempat juga saya refresh aplikasinya dan mengecek kembali statusnya tetap aktif dan semua berubah menjadi tidak aktif setelah di isi saldo,"['aplikasi', 'penipu', 'pemerasan', 'baruini', 'mendownload', 'aplikasi', 'berhasil', 'login', 'muncul', 'rekeningku', 'bni', 'rekening', 'aktif', 'rekeningku', 'mendownload', 'wondr', 'status', 'aktif', 'berulang', 'kali', 'mengecek', 'status', 'rekening', 'satunya', 'refresh', 'aplikasinya', 'mengecek', 'statusnya', 'aktif', 'berubah', 'aktif', 'isi', 'saldo']",1,negative
nayamul loginnya gak semudah aplikasi sebelumnya,"['nayamul', 'loginnya', 'gak', 'semudah', 'aplikasi']",3,neutral
tampilan baru yg menyegarkan pada awalnya terdapat kendala saat verifikasi wajah saat mata diminta berkedip tp setelah dicoba lain hari cuma diminta gerakan kepala ke atas saat verifikasi wajah langsung sukses alhamdulillah dan masih ada kendala lg mutasi rekening tidak bisa seperti bni mobile misalnya mutasi seperti jasabunga tabungan biaya kartu dan administrasi tidak muncul mohon dibenahi dulu dan menunya belum selengkap bni mobile yg bisa bayar biaya pendidikan terimakasih,"['tampilan', 'menyegarkan', 'kendala', 'verifikasi', 'wajah', 'mata', 'berkedip', 'dicoba', 'gerakan', 'kepala', 'verifikasi', 'wajah', 'langsung', 'sukses', 'alhamdulillah', 'kendala', 'mutasi', 'rekening', 'bni', 'mobile', 'mutasi', 'jasabunga', 'tabungan', 'biaya', 'kartu', 'administrasi', 'muncul', 'mohon', 'dibenahi', 'menunya', 'selengkap', 'bni', 'mobile', 'bayar', 'biaya', 'pendidikan', 'terimakasih']",5,positive
kenapa selalu perbaikan ya mau transfer uang gak bisa masa nomor rekening saya di dalam perbaikan klau aplikasi nya dalam perbaikan wajar tapi ini keluarga saya mau transfer uang kendala nomor rekening saya dalam perbaikan mohon penjelasannya,"['perbaikan', 'transfer', 'uang', 'gak', 'nomor', 'rekening', 'perbaikan', 'klau', 'aplikasi', 'perbaikan', 'wajar', 'keluarga', 'transfer', 'uang', 'kendala', 'nomor', 'rekening', 'perbaikan', 'mohon', 'penjelasannya']",3,neutral
sangat bagus harusnya di update supaya kartu yg tidak aktif tdk perlu lagi ke kantor,"['bagus', 'update', 'kartu', 'aktif', 'kantor']",5,positive
kalau blm siap ga usah launching dulu cm mau token listrik suruh beli di sini dr mbangking stlh dituruti install wondr mau otp aja ga datang datang otpnya krn sdh berkali kali minta kirom ulang suruh besok keburu gelap rumahku alhasil ttp beli di toko pulsa token listriknya,"['blm', 'launching', 'cm', 'token', 'listrik', 'suruh', 'beli', 'mbangking', 'stlh', 'dituruti', 'install', 'wondr', 'otp', 'otpnya', 'krn', 'sdh', 'berkali', 'kali', 'kirom', 'ulang', 'suruh', 'besok', 'keburu', 'gelap', 'rumahku', 'alhasil', 'beli', 'toko', 'pulsa', 'token', 'listriknya']",1,negative
alhamdulillah ternyata sudh ada fiturnya,"['alhamdulillah', 'sudh', 'fiturnya']",5,positive
katanya super app tapi ga bisa tarik tunai tanpa kartu masih belum bisa gantiin bni mobile,"['super', 'app', 'tarik', 'tunai', 'kartu', 'gantiin', 'bni', 'mobile']",1,negative
aplikasi wondr sangat bermanfaat dan mudah operasionalnya,"['aplikasi', 'wondr', 'bermanfaat', 'mudah', 'operasionalnya']",5,positive
transaksi mudah dan cepat sangat membantu sekali,"['transaksi', 'mudah', 'cepat', 'membantu']",5,positive
hai aku pengguna baru dan excited banget ternyata ada ya aplikasi banking yang colorful kayak ginisangat menyenangkan gak monoton warnanya berasa nyaman aj dipandang walaupun saldo masih tipis dan yang paling aku suka ada fitur transfer luar negeri trus langsung nonggol negara tujuanmantap apknya gak lelet terimakasih ya semoga uang nyaman direkening ini,"['hai', 'pengguna', 'excited', 'banget', 'aplikasi', 'banking', 'colorful', 'kayak', 'ginisangat', 'menyenangkan', 'gak', 'monoton', 'warnanya', 'berasa', 'nyaman', 'aj', 'dipandang', 'saldo', 'tipis', 'suka', 'fitur', 'transfer', 'negeri', 'trus', 'langsung', 'nonggol', 'negara', 'tujuanmantap', 'apknya', 'gak', 'lelet', 'terimakasih', 'semoga', 'uang', 'nyaman', 'direkening']",5,positive
ga bisa pake finger print,"['pake', 'finger', 'print']",3,neutral
sering nge lag gimana ini lagi urgent mohon perfomanya di tingkatkan malah lebih bagus aplikaai yang bni mobile banking yang sebelumnya,"['nge', 'lag', 'gimana', 'urgent', 'mohon', 'perfomanya', 'tingkatkan', 'bagus', 'aplikaai', 'bni', 'mobile', 'banking']",3,neutral
deskripsi transaksi minim,"['deskripsi', 'transaksi', 'minim']",3,neutral
